timestamp,unix_time,synaptic_weight,smoothed_weight
2025-12-11 00:59:03.604,1765375143.604933,0.651,0.5453
2025-12-11 00:59:03.654,1765375143.6547842,0.651,0.57701
2025-12-11 00:59:03.666,1765375143.6661572,0.652,0.599507
2025-12-11 00:59:03.979,1765375143.9793732,0.65,0.6146549
2025-12-11 00:59:04.579,1765375144.5792515,0.651,0.62555843
2025-12-11 00:59:04.597,1765375144.5971334,0.65,0.6328909009999999
2025-12-11 00:59:04.974,1765375144.9749858,0.6569,0.6400936306999999
2025-12-11 00:59:04.991,1765375144.99193,0.6569,0.6451355414899999
2025-12-11 00:59:05.010,1765375145.010455,0.6579,0.6489648790429999
2025-12-11 00:59:05.577,1765375145.577975,0.6579,0.6516454153300999
2025-12-11 00:59:05.580,1765375145.5807428,0.6579,0.6535217907310699
2025-12-11 00:59:05.893,1765375145.8939438,0.6481,0.6518952535117488
2025-12-11 00:59:05.926,1765375145.926974,0.6481,0.6507566774582241
2025-12-11 00:59:05.934,1765375145.9341335,0.6481,0.6499596742207567
2025-12-11 00:59:06.247,1765375146.2471254,0.6579,0.6523417719545297
2025-12-11 00:59:07.029,1765375147.0290513,0.651,0.6519392403681707
2025-12-11 00:59:07.612,1765375147.6121886,0.653,0.6522574682577195
2025-12-11 00:59:07.630,1765375147.630867,0.652,0.6521802277804036
2025-12-11 00:59:07.680,1765375147.680515,0.65,0.6515261594462824
2025-12-11 00:59:08.265,1765375148.2655096,0.652,0.6516683116123977
2025-12-11 00:59:08.270,1765375148.2709002,0.651,0.6514678181286784
2025-12-11 00:59:08.862,1765375148.8629704,0.651,0.6513274726900748
2025-12-11 00:59:08.867,1765375148.8679862,0.65,0.6509292308830523
2025-12-11 00:59:08.919,1765375148.9192052,0.6481,0.6500804616181366
2025-12-11 00:59:08.965,1765375148.965333,0.6471,0.6491863231326955
2025-12-11 00:59:08.973,1765375148.97348,0.6471,0.6485604261928868
2025-12-11 00:59:09.000,1765375149.0007658,0.6471,0.6481222983350207
2025-12-11 00:59:09.786,1765375149.7868311,0.652,0.6492856088345145
2025-12-11 00:59:09.804,1765375149.8042076,0.653,0.6503999261841601
2025-12-11 00:59:09.826,1765375149.8269453,0.653,0.651179948328912
2025-12-11 00:59:10.025,1765375150.0251958,0.653,0.6517259638302384
2025-12-11 00:59:10.049,1765375150.0498898,0.652,0.6518081746811668
2025-12-11 00:59:10.077,1765375150.0771313,0.651,0.6515657222768168
2025-12-11 00:59:10.126,1765375150.1269066,0.6491,0.6508260055937717
2025-12-11 00:59:10.189,1765375150.1890619,0.6461,0.6494082039156401
2025-12-11 00:59:10.233,1765375150.2333176,0.6461,0.648415742740948
2025-12-11 00:59:10.254,1765375150.2547817,0.6452,0.6474510199186636
2025-12-11 00:59:10.856,1765375150.856491,0.6452,0.6467757139430644
2025-12-11 00:59:11.452,1765375151.452083,0.6471,0.6468729997601451
2025-12-11 00:59:11.461,1765375151.46189,0.6471,0.6469410998321016
2025-12-11 00:59:11.841,1765375151.8416073,0.6559,0.6496287698824711
2025-12-11 00:59:12.438,1765375152.4384236,0.6559,0.6515101389177298
2025-12-11 00:59:12.447,1765375152.4479713,0.6549,0.6525270972424109
2025-12-11 00:59:12.674,1765375152.6747656,0.6461,0.6505989680696875
2025-12-11 00:59:12.718,1765375152.7183065,0.6461,0.6492492776487813
2025-12-11 00:59:12.748,1765375152.7481134,0.6461,0.6483044943541468
2025-12-11 00:59:12.756,1765375152.7562215,0.6471,0.6479431460479027
2025-12-11 00:59:13.329,1765375153.3299868,0.6461,0.6473902022335318
2025-12-11 00:59:14.113,1765375154.1133437,0.653,0.6490731415634723
2025-12-11 00:59:14.123,1765375154.123944,0.654,0.6505511990944306
2025-12-11 00:59:14.694,1765375154.6946292,0.652,0.6509858393661014
2025-12-11 00:59:14.705,1765375154.705149,0.653,0.651590087556271
2025-12-11 00:59:14.785,1765375154.785876,0.6569,0.6531830612893896
2025-12-11 00:59:14.818,1765375154.81813,0.6569,0.6542981429025727
2025-12-11 00:59:15.202,1765375155.2024388,0.6481,0.6524387000318008
2025-12-11 00:59:15.435,1765375155.435458,0.6569,0.6537770900222606
2025-12-11 00:59:15.454,1765375155.4549365,0.6569,0.6547139630155824
2025-12-11 00:59:15.524,1765375155.5241668,0.6559,0.6550697741109076
2025-12-11 00:59:15.538,1765375155.5382285,0.6549,0.6550188418776353
2025-12-11 00:59:15.658,1765375155.6589983,0.6491,0.6532431893143447
2025-12-11 00:59:15.673,1765375155.6735978,0.6481,0.6517002325200412
2025-12-11 00:59:15.695,1765375155.6959012,0.6481,0.6506201627640288
2025-12-11 00:59:15.769,1765375155.7696598,0.6461,0.6492641139348201
2025-12-11 00:59:16.036,1765375156.0361154,0.6559,0.651254879754374
2025-12-11 00:59:16.155,1765375156.1557362,0.6559,0.6526484158280618
2025-12-11 00:59:16.473,1765375156.4730957,0.6491,0.6515838910796432
2025-12-11 00:59:16.493,1765375156.4939232,0.65,0.6511087237557502
2025-12-11 00:59:17.277,1765375157.277332,0.6559,0.6525461066290251
2025-12-11 00:59:17.331,1765375157.3313656,0.6559,0.6535522746403175
2025-12-11 00:59:17.659,1765375157.6591105,0.6481,0.6519165922482222
2025-12-11 00:59:17.821,1765375157.821375,0.654,0.6525416145737555
2025-12-11 00:59:17.822,1765375157.8225467,0.6549,0.6532491302016288
2025-12-11 00:59:17.904,1765375157.9040828,0.6579,0.6546443911411401
2025-12-11 00:59:17.934,1765375157.9344628,0.6569,0.6553210737987981
